epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,175.693,1.2704,2.16653,1.01604,0.44828,0.52,0.4861,0.33805,1.19669,1.61576,0.98543,0.0008614,0.0008614,0.0008614
44,179.938,1.30876,2.46624,1.06779,0.63466,0.584,0.62688,0.4101,1.19234,1.35859,0.98594,0.0008581,0.0008581,0.0008581
45,183.869,1.38917,1.58227,1.00925,0.63466,0.584,0.62688,0.4101,1.19234,1.35859,0.98594,0.0008548,0.0008548,0.0008548
46,187.991,1.38026,1.62156,1.04317,0.63466,0.584,0.62688,0.4101,1.19234,1.35859,0.98594,0.0008515,0.0008515,0.0008515
47,192.14,1.22911,1.93809,0.97992,0.82459,0.22566,0.62366,0.40443,1.20087,2.38703,0.97993,0.0008482,0.0008482,0.0008482
48,195.971,1.14579,1.96967,0.95548,0.82459,0.22566,0.62366,0.40443,1.20087,2.38703,0.97993,0.0008449,0.0008449,0.0008449
49,199.846,1.26347,1.76038,0.9857,0.70963,0.55722,0.66179,0.38996,1.33937,1.7479,1.01486,0.0008416,0.0008416,0.0008416
50,203.698,1.29245,1.53617,0.97987,0.70963,0.55722,0.66179,0.38996,1.33937,1.7479,1.01486,0.0008383,0.0008383,0.0008383
51,207.609,1.26043,1.37799,1.05857,0.79364,0.716,0.78617,0.49809,1.22495,1.13801,0.97415,0.000835,0.000835,0.000835
52,211.827,1.16908,1.49727,1.02588,0.79364,0.716,0.78617,0.49809,1.22495,1.13801,0.97415,0.0008317,0.0008317,0.0008317
53,215.862,1.22319,1.1939,0.92137,0.7777,0.772,0.8308,0.56233,1.09124,1.12313,0.93762,0.0008284,0.0008284,0.0008284
54,219.891,1.1454,1.15644,0.9137,0.7777,0.772,0.8308,0.56233,1.09124,1.12313,0.93762,0.0008251,0.0008251,0.0008251
55,223.897,1.14588,1.11675,0.94513,0.7777,0.772,0.8308,0.56233,1.09124,1.12313,0.93762,0.0008218,0.0008218,0.0008218
56,228.009,1.11077,1.17198,0.97639,0.80452,0.80667,0.84707,0.59747,1.02002,0.92611,0.92117,0.0008185,0.0008185,0.0008185
57,232.153,1.03373,1.06731,0.93758,0.80452,0.80667,0.84707,0.59747,1.02002,0.92611,0.92117,0.0008152,0.0008152,0.0008152
58,236.367,1.04074,1.02567,0.92572,0.81509,0.808,0.85461,0.60837,1.04986,0.88944,0.9422,0.0008119,0.0008119,0.0008119
59,240.551,1.07789,1.11313,0.92581,0.81509,0.808,0.85461,0.60837,1.04986,0.88944,0.9422,0.0008086,0.0008086,0.0008086
60,244.704,1.04378,0.99351,0.91892,0.82128,0.772,0.85186,0.62713,0.97611,0.84793,0.90431,0.0008053,0.0008053,0.0008053
61,248.815,1.0412,0.991,0.95307,0.82128,0.772,0.85186,0.62713,0.97611,0.84793,0.90431,0.000802,0.000802,0.000802
62,253.092,0.99564,0.94739,0.93516,0.86513,0.84676,0.90642,0.67532,0.9412,0.88976,0.89882,0.0007987,0.0007987,0.0007987
63,257.238,1.01082,1.18156,0.97518,0.86513,0.84676,0.90642,0.67532,0.9412,0.88976,0.89882,0.0007954,0.0007954,0.0007954
64,261.403,0.99198,0.93964,0.92351,0.86519,0.84714,0.91389,0.67704,0.97712,1.04328,0.90378,0.0007921,0.0007921,0.0007921
65,265.394,1.01822,0.92972,0.90158,0.86519,0.84714,0.91389,0.67704,0.97712,1.04328,0.90378,0.0007888,0.0007888,0.0007888
66,269.385,1.05842,0.95168,0.92147,0.86519,0.84714,0.91389,0.67704,0.97712,1.04328,0.90378,0.0007855,0.0007855,0.0007855
67,273.592,1.01625,0.87445,0.91812,0.86118,0.856,0.9059,0.67412,0.97764,0.91791,0.90825,0.0007822,0.0007822,0.0007822
68,277.473,1.01382,0.82596,0.89424,0.86118,0.856,0.9059,0.67412,0.97764,0.91791,0.90825,0.0007789,0.0007789,0.0007789
69,281.325,1.01747,0.79846,0.88777,0.8582,0.892,0.91649,0.67663,0.96723,0.72411,0.90308,0.0007756,0.0007756,0.0007756
70,285.229,1.06813,0.99315,0.96126,0.8582,0.892,0.91649,0.67663,0.96723,0.72411,0.90308,0.0007723,0.0007723,0.0007723
71,289.094,0.99072,0.77448,0.93898,0.866,0.872,0.91839,0.6704,1.01459,0.71416,0.9099,0.000769,0.000769,0.000769
72,292.957,1.05946,0.80936,0.91672,0.866,0.872,0.91839,0.6704,1.01459,0.71416,0.9099,0.0007657,0.0007657,0.0007657
73,296.86,1.09209,0.82879,0.91077,0.81607,0.916,0.92108,0.68427,0.95577,0.7478,0.89708,0.0007624,0.0007624,0.0007624
74,300.976,0.95323,0.84399,0.88954,0.81607,0.916,0.92108,0.68427,0.95577,0.7478,0.89708,0.0007591,0.0007591,0.0007591
75,304.993,0.93652,0.74365,0.87645,0.8575,0.876,0.90974,0.7031,0.88336,0.86054,0.88079,0.0007558,0.0007558,0.0007558
76,308.988,1.01023,0.85577,0.92934,0.8575,0.876,0.90974,0.7031,0.88336,0.86054,0.88079,0.0007525,0.0007525,0.0007525
77,313.059,0.95324,0.73708,0.91277,0.8575,0.876,0.90974,0.7031,0.88336,0.86054,0.88079,0.0007492,0.0007492,0.0007492
78,317.241,0.88866,0.70718,0.89621,0.85242,0.864,0.91199,0.69699,0.8539,0.82617,0.87992,0.0007459,0.0007459,0.0007459
79,321.056,0.92536,0.7451,0.91873,0.85242,0.864,0.91199,0.69699,0.8539,0.82617,0.87992,0.0007426,0.0007426,0.0007426
80,324.922,1.00777,0.86234,0.94324,0.84145,0.848,0.90457,0.70546,0.89992,0.83794,0.88737,0.0007393,0.0007393,0.0007393
81,329.022,0.94134,0.84744,0.93017,0.84145,0.848,0.90457,0.70546,0.89992,0.83794,0.88737,0.000736,0.000736,0.000736
82,333.139,0.91612,0.75127,0.91376,0.87881,0.87015,0.91246,0.70932,0.91437,0.78703,0.88815,0.0007327,0.0007327,0.0007327
83,337.326,0.93689,0.72477,0.89009,0.87881,0.87015,0.91246,0.70932,0.91437,0.78703,0.88815,0.0007294,0.0007294,0.0007294
84,341.462,0.92227,0.6764,0.88792,0.89725,0.908,0.92226,0.723,0.85786,0.73532,0.87137,0.0007261,0.0007261,0.0007261
85,345.507,0.88678,0.67972,0.88635,0.89725,0.908,0.92226,0.723,0.85786,0.73532,0.87137,0.0007228,0.0007228,0.0007228
86,349.511,0.91298,0.7436,0.91782,0.91236,0.92,0.92964,0.73221,0.80731,0.62681,0.86324,0.0007195,0.0007195,0.0007195
87,353.651,0.81801,0.61829,0.86543,0.91236,0.92,0.92964,0.73221,0.80731,0.62681,0.86324,0.0007162,0.0007162,0.0007162
88,357.733,0.86658,0.66059,0.87548,0.91236,0.92,0.92964,0.73221,0.80731,0.62681,0.86324,0.0007129,0.0007129,0.0007129
89,361.904,0.82071,0.62424,0.88041,0.89971,0.93301,0.93358,0.71503,0.86324,0.61242,0.87835,0.0007096,0.0007096,0.0007096
90,365.696,0.86248,0.86259,0.93023,0.89971,0.93301,0.93358,0.71503,0.86324,0.61242,0.87835,0.0007063,0.0007063,0.0007063
91,369.533,0.80132,0.61561,0.85884,0.91268,0.91975,0.93467,0.71305,0.87672,0.69571,0.88185,0.000703,0.000703,0.000703
92,373.339,0.83434,0.65542,0.88667,0.91268,0.91975,0.93467,0.71305,0.87672,0.69571,0.88185,0.0006997,0.0006997,0.0006997
93,377.179,0.8277,0.72951,0.91003,0.89946,0.916,0.92477,0.71684,0.83673,0.77817,0.86882,0.0006964,0.0006964,0.0006964
94,381.009,0.81172,0.61129,0.87072,0.89946,0.916,0.92477,0.71684,0.83673,0.77817,0.86882,0.0006931,0.0006931,0.0006931
95,384.871,0.84727,0.63258,0.86048,0.8993,0.932,0.936,0.7606,0.75421,0.66681,0.85517,0.0006898,0.0006898,0.0006898
96,389.019,0.79679,0.6097,0.88113,0.8993,0.932,0.936,0.7606,0.75421,0.66681,0.85517,0.0006865,0.0006865,0.0006865
97,393.207,0.79078,0.62895,0.87051,0.87315,0.9361,0.93641,0.75546,0.76745,0.63561,0.85673,0.0006832,0.0006832,0.0006832
98,397.093,0.85962,0.71194,0.94067,0.87315,0.9361,0.93641,0.75546,0.76745,0.63561,0.85673,0.0006799,0.0006799,0.0006799
99,400.963,0.77846,0.56847,0.86376,0.87315,0.9361,0.93641,0.75546,0.76745,0.63561,0.85673,0.0006766,0.0006766,0.0006766
100,404.819,0.77758,0.57381,0.8689,0.87683,0.93965,0.9353,0.73297,0.82769,0.6604,0.86639,0.0006733,0.0006733,0.0006733
101,408.624,0.8112,0.62348,0.8613,0.87683,0.93965,0.9353,0.73297,0.82769,0.6604,0.86639,0.00067,0.00067,0.00067
