epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,171.984,2.01268,4.50152,1.30312,0.14882,0.86842,0.32487,0.17216,1.82448,3.4514,1.29089,0.0008614,0.0008614,0.0008614
44,176.096,2.09824,4.31468,1.31739,0.06408,0.71711,0.29012,0.16966,1.81772,3.04644,1.40113,0.0008581,0.0008581,0.0008581
45,179.89,1.83662,3.28745,1.16428,0.06408,0.71711,0.29012,0.16966,1.81772,3.04644,1.40113,0.0008548,0.0008548,0.0008548
46,183.671,1.80033,3.31661,1.19331,0.06408,0.71711,0.29012,0.16966,1.81772,3.04644,1.40113,0.0008515,0.0008515,0.0008515
47,187.445,1.72155,4.04997,1.10362,0.35928,0.81579,0.52387,0.27942,1.62245,2.14407,1.17494,0.0008482,0.0008482,0.0008482
48,191.488,1.73141,2.90239,1.14584,0.35928,0.81579,0.52387,0.27942,1.62245,2.14407,1.17494,0.0008449,0.0008449,0.0008449
49,195.567,1.79311,2.79163,1.10834,0.52733,0.67763,0.53801,0.31067,1.49915,1.88019,1.10777,0.0008416,0.0008416,0.0008416
50,199.591,1.66275,2.88868,1.06711,0.52733,0.67763,0.53801,0.31067,1.49915,1.88019,1.10777,0.0008383,0.0008383,0.0008383
51,203.503,1.59773,3.48512,1.08389,0.67384,0.57895,0.66122,0.43783,1.31492,1.94101,1.03855,0.000835,0.000835,0.000835
52,207.527,1.40634,3.3859,1.06187,0.67384,0.57895,0.66122,0.43783,1.31492,1.94101,1.03855,0.0008317,0.0008317,0.0008317
53,211.583,1.65454,2.72123,1.0369,0.76375,0.70187,0.76688,0.49355,1.31022,1.90816,1.04808,0.0008284,0.0008284,0.0008284
54,215.475,1.7806,2.44413,1.05113,0.76375,0.70187,0.76688,0.49355,1.31022,1.90816,1.04808,0.0008251,0.0008251,0.0008251
55,219.445,1.7544,2.38647,1.08919,0.76375,0.70187,0.76688,0.49355,1.31022,1.90816,1.04808,0.0008218,0.0008218,0.0008218
56,223.398,1.3953,1.8107,1.05504,0.72232,0.86842,0.74251,0.51034,1.22444,1.42091,1.01105,0.0008185,0.0008185,0.0008185
57,227.446,1.41389,1.88526,1.06632,0.72232,0.86842,0.74251,0.51034,1.22444,1.42091,1.01105,0.0008152,0.0008152,0.0008152
58,231.364,1.31942,1.79331,0.96342,0.74083,0.80865,0.76287,0.49317,1.19244,1.35146,0.99905,0.0008119,0.0008119,0.0008119
59,235.123,1.38631,1.66586,0.98596,0.74083,0.80865,0.76287,0.49317,1.19244,1.35146,0.99905,0.0008086,0.0008086,0.0008086
60,238.954,1.43534,1.89562,1.00834,0.74619,0.69079,0.74267,0.48468,1.27177,1.69065,1.02669,0.0008053,0.0008053,0.0008053
61,242.708,1.38109,1.86329,1.08001,0.74619,0.69079,0.74267,0.48468,1.27177,1.69065,1.02669,0.000802,0.000802,0.000802
62,246.506,1.30704,2.02418,1.04312,0.75128,0.875,0.80417,0.54254,1.21818,1.12005,1.00392,0.0007987,0.0007987,0.0007987
63,250.572,1.14776,3.77242,0.89259,0.75128,0.875,0.80417,0.54254,1.21818,1.12005,1.00392,0.0007954,0.0007954,0.0007954
64,254.625,1.284,1.88269,0.99452,0.78073,0.88158,0.82631,0.55517,1.21516,1.2857,1.00566,0.0007921,0.0007921,0.0007921
65,258.577,1.3132,1.62058,0.99753,0.78073,0.88158,0.82631,0.55517,1.21516,1.2857,1.00566,0.0007888,0.0007888,0.0007888
