epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,233.23,3.12854,2.16281,1.22244,0.47465,0.44096,0.43556,0.12244,3.03815,1.80809,1.06259,0.0017228,0.0017228,0.0017228
44,238.834,2.94204,1.61981,1.14511,0.60468,0.3687,0.48838,0.16739,2.8846,2.08239,1.04779,0.0017162,0.0017162,0.0017162
45,244.417,3.01437,1.77152,1.19974,0.60468,0.3687,0.48838,0.16739,2.8846,2.08239,1.04779,0.0017096,0.0017096,0.0017096
46,250.026,3.05202,1.62276,1.1686,0.59163,0.56764,0.62645,0.17748,2.8225,1.32243,1.02369,0.001703,0.001703,0.001703
47,255.523,3.1076,1.67895,1.20619,0.59163,0.56764,0.62645,0.17748,2.8225,1.32243,1.02369,0.0016964,0.0016964,0.0016964
48,261.035,3.16754,1.6354,1.12769,0.69299,0.1008,0.17023,0.05489,nan,nan,nan,0.0016898,0.0016898,0.0016898
49,266.282,2.68734,1.34901,1.059,0.69299,0.1008,0.17023,0.05489,nan,nan,nan,0.0016832,0.0016832,0.0016832
50,271.53,2.63326,1.40507,1.12694,0.69299,0.1008,0.17023,0.05489,nan,nan,nan,0.0016766,0.0016766,0.0016766
51,276.83,2.72476,1.484,1.08707,0.4504,0.11936,0.14596,0.05602,nan,nan,nan,0.00167,0.00167,0.00167
52,282.132,2.45507,1.30026,1.09337,0.4504,0.11936,0.14596,0.05602,nan,nan,nan,0.0016634,0.0016634,0.0016634
53,287.457,2.68567,1.4922,1.13475,0.68314,0.75488,0.7302,0.24513,2.42832,1.14979,1.02884,0.0016568,0.0016568,0.0016568
54,293.012,2.25747,1.17774,1.06249,0.68314,0.75488,0.7302,0.24513,2.42832,1.14979,1.02884,0.0016502,0.0016502,0.0016502
55,298.547,2.43435,1.25372,1.0109,0.8407,0.86207,0.91093,0.34491,2.19689,0.94008,0.96233,0.0016436,0.0016436,0.0016436
56,304.102,2.53634,1.26215,1.02318,0.8407,0.86207,0.91093,0.34491,2.19689,0.94008,0.96233,0.001637,0.001637,0.001637
57,309.766,2.35674,1.26247,1.03956,0.8835,0.86502,0.93689,0.43348,1.95627,0.85021,0.9298,0.0016304,0.0016304,0.0016304
58,315.376,2.10373,1.11073,0.98953,0.8835,0.86502,0.93689,0.43348,1.95627,0.85021,0.9298,0.0016238,0.0016238,0.0016238
59,320.938,2.18087,1.2229,1.05869,0.8835,0.86502,0.93689,0.43348,1.95627,0.85021,0.9298,0.0016172,0.0016172,0.0016172
60,326.526,2.14999,1.03692,0.97557,0.89284,0.86192,0.92985,0.38329,2.12439,0.84983,0.94836,0.0016106,0.0016106,0.0016106
61,331.798,2.24889,1.11076,0.99988,0.89284,0.86192,0.92985,0.38329,2.12439,0.84983,0.94836,0.001604,0.001604,0.001604
62,337.102,2.28918,1.03725,0.97925,0.90778,0.88779,0.96213,0.46482,1.94577,0.7512,0.94004,0.0015974,0.0015974,0.0015974
63,342.568,2.12,1.03274,1.01791,0.90778,0.88779,0.96213,0.46482,1.94577,0.7512,0.94004,0.0015908,0.0015908,0.0015908
64,348.142,2.01743,0.92351,0.98453,0.90825,0.91902,0.95562,0.41214,2.08683,0.78086,0.94098,0.0015842,0.0015842,0.0015842
65,353.455,2.08006,1.07716,0.96585,0.90825,0.91902,0.95562,0.41214,2.08683,0.78086,0.94098,0.0015776,0.0015776,0.0015776
66,358.755,2.05789,0.95659,0.97288,0.90825,0.91902,0.95562,0.41214,2.08683,0.78086,0.94098,0.001571,0.001571,0.001571
67,364.059,2.01981,0.97024,0.94867,0.94205,0.91512,0.97012,0.41756,2.08136,0.78653,0.92952,0.0015644,0.0015644,0.0015644
68,369.347,2.01309,0.9271,0.9432,0.94205,0.91512,0.97012,0.41756,2.08136,0.78653,0.92952,0.0015578,0.0015578,0.0015578
69,374.642,1.97742,0.93184,0.95171,0.9416,0.94093,0.97897,0.47619,1.90963,0.73617,0.90494,0.0015512,0.0015512,0.0015512
70,380.196,2.02842,1.08432,1.00676,0.9416,0.94093,0.97897,0.47619,1.90963,0.73617,0.90494,0.0015446,0.0015446,0.0015446
71,385.8,2.02557,0.95754,0.95198,0.94262,0.91503,0.97149,0.51989,1.72373,0.71132,0.88412,0.001538,0.001538,0.001538
72,391.412,1.87138,0.97338,0.93411,0.94262,0.91503,0.97149,0.51989,1.72373,0.71132,0.88412,0.0015314,0.0015314,0.0015314
73,396.997,1.89059,0.92076,0.94729,0.93136,0.88859,0.96199,0.53648,1.60336,0.71227,0.87495,0.0015248,0.0015248,0.0015248
74,402.461,1.88614,0.90455,0.9521,0.93136,0.88859,0.96199,0.53648,1.60336,0.71227,0.87495,0.0015182,0.0015182,0.0015182
75,407.965,1.8475,0.89301,0.92179,0.93136,0.88859,0.96199,0.53648,1.60336,0.71227,0.87495,0.0015116,0.0015116,0.0015116
76,413.493,2.02112,0.91765,0.91858,0.93038,0.88624,0.96318,0.46479,1.81614,0.78789,0.8978,0.001505,0.001505,0.001505
77,418.796,1.82767,0.90184,0.93817,0.93038,0.88624,0.96318,0.46479,1.81614,0.78789,0.8978,0.0014984,0.0014984,0.0014984
78,424.115,1.72011,0.8193,0.90795,0.93516,0.91815,0.96402,0.48908,1.71833,0.71857,0.88824,0.0014918,0.0014918,0.0014918
79,429.557,1.77856,0.85132,0.90792,0.93516,0.91815,0.96402,0.48908,1.71833,0.71857,0.88824,0.0014852,0.0014852,0.0014852
80,434.879,1.68519,0.78316,0.90318,0.96745,0.946,0.98513,0.59482,1.47696,0.62805,0.86002,0.0014786,0.0014786,0.0014786
81,440.413,1.80202,0.8441,0.93207,0.96745,0.946,0.98513,0.59482,1.47696,0.62805,0.86002,0.001472,0.001472,0.001472
82,445.978,1.78846,1.01118,0.96144,0.96745,0.946,0.98513,0.59482,1.47696,0.62805,0.86002,0.0014654,0.0014654,0.0014654
83,451.567,1.89162,0.90134,0.90956,0.96037,0.96417,0.98741,0.59019,1.47812,0.62393,0.85408,0.0014588,0.0014588,0.0014588
84,456.875,1.83461,0.91383,0.97829,0.96037,0.96417,0.98741,0.59019,1.47812,0.62393,0.85408,0.0014522,0.0014522,0.0014522
85,462.2,1.73785,0.81225,0.92289,0.9756,0.95464,0.99181,0.49882,1.7396,0.70743,0.87733,0.0014456,0.0014456,0.0014456
86,467.476,1.82902,0.97147,0.96356,0.9756,0.95464,0.99181,0.49882,1.7396,0.70743,0.87733,0.001439,0.001439,0.001439
87,472.84,1.7465,0.81419,0.92079,0.97093,0.97613,0.99352,0.49682,1.7892,0.70888,0.88579,0.0014324,0.0014324,0.0014324
88,478.174,1.73193,0.75024,0.89726,0.97093,0.97613,0.99352,0.49682,1.7892,0.70888,0.88579,0.0014258,0.0014258,0.0014258
89,483.484,1.69754,0.78223,0.90692,0.9892,0.97185,0.99408,0.56518,1.4935,0.61447,0.85327,0.0014192,0.0014192,0.0014192
90,488.791,1.72207,0.80531,0.89691,0.9892,0.97185,0.99408,0.56518,1.4935,0.61447,0.85327,0.0014126,0.0014126,0.0014126
91,494.04,1.66938,0.75187,0.90645,0.9892,0.97185,0.99408,0.56518,1.4935,0.61447,0.85327,0.001406,0.001406,0.001406
92,499.327,1.56413,0.80815,0.92711,0.98927,0.9783,0.99358,0.53639,1.59477,0.61876,0.86198,0.0013994,0.0013994,0.0013994
93,504.562,1.60785,0.71289,0.89169,0.98927,0.9783,0.99358,0.53639,1.59477,0.61876,0.86198,0.0013928,0.0013928,0.0013928
94,509.871,1.50045,0.72133,0.88587,0.99249,0.98143,0.99443,0.59338,1.46765,0.58087,0.85207,0.0013862,0.0013862,0.0013862
95,515.162,1.59769,0.81036,0.90563,0.99249,0.98143,0.99443,0.59338,1.46765,0.58087,0.85207,0.0013796,0.0013796,0.0013796
96,520.465,1.62093,0.73232,0.89667,0.99305,0.97878,0.99402,0.60275,1.41604,0.56281,0.8463,0.001373,0.001373,0.001373
97,526.008,1.57545,0.7366,0.90319,0.99305,0.97878,0.99402,0.60275,1.41604,0.56281,0.8463,0.0013664,0.0013664,0.0013664
98,531.508,1.72678,0.77675,0.89319,0.99305,0.97878,0.99402,0.60275,1.41604,0.56281,0.8463,0.0013598,0.0013598,0.0013598
99,537.094,1.6519,0.77048,0.90209,0.98591,0.98143,0.99395,0.58848,1.45547,0.56755,0.85226,0.0013532,0.0013532,0.0013532
100,542.377,1.56305,0.90647,0.91985,0.98591,0.98143,0.99395,0.58848,1.45547,0.56755,0.85226,0.0013466,0.0013466,0.0013466
101,547.678,1.56929,0.72151,0.9034,0.97954,0.98143,0.99368,0.55746,1.58006,0.58719,0.85893,0.00134,0.00134,0.00134
102,552.968,1.58095,0.73653,0.9122,0.97954,0.98143,0.99368,0.55746,1.58006,0.58719,0.85893,0.0013334,0.0013334,0.0013334
103,558.249,1.51233,0.65792,0.87575,0.99274,0.97878,0.99457,0.62146,1.3767,0.54061,0.83629,0.0013268,0.0013268,0.0013268
104,563.781,1.5959,0.73196,0.91233,0.99274,0.97878,0.99457,0.62146,1.3767,0.54061,0.83629,0.0013202,0.0013202,0.0013202
105,569.363,1.44752,0.65427,0.88087,0.98603,0.98408,0.99434,0.626,1.3459,0.54476,0.8335,0.0013136,0.0013136,0.0013136
106,574.856,1.53592,0.6844,0.87868,0.98603,0.98408,0.99434,0.626,1.3459,0.54476,0.8335,0.001307,0.001307,0.001307
107,580.389,1.44379,0.82281,0.8589,0.98603,0.98408,0.99434,0.626,1.3459,0.54476,0.8335,0.0013004,0.0013004,0.0013004
108,585.963,1.59949,0.71086,0.8982,0.98308,0.97613,0.99366,0.60731,1.45951,0.57375,0.84762,0.0012938,0.0012938,0.0012938
109,591.251,1.58425,0.70081,0.8908,0.98308,0.97613,0.99366,0.60731,1.45951,0.57375,0.84762,0.0012872,0.0012872,0.0012872
110,596.554,1.46289,0.6581,0.88395,0.98642,0.96371,0.99095,0.61193,1.49457,0.5937,0.85135,0.0012806,0.0012806,0.0012806
111,601.835,1.60593,0.75054,0.88769,0.98642,0.96371,0.99095,0.61193,1.49457,0.5937,0.85135,0.001274,0.001274,0.001274
112,607.114,1.47441,0.67326,0.89232,0.98845,0.97613,0.99239,0.64474,1.3082,0.53922,0.83122,0.0012674,0.0012674,0.0012674
113,612.579,1.46465,0.69352,0.89021,0.98845,0.97613,0.99239,0.64474,1.3082,0.53922,0.83122,0.0012608,0.0012608,0.0012608
114,618.104,1.43779,0.6686,0.87595,0.98845,0.97613,0.99239,0.64474,1.3082,0.53922,0.83122,0.0012542,0.0012542,0.0012542
115,623.625,1.36277,0.66353,0.90766,0.99173,0.98408,0.9944,0.64059,1.28018,0.55222,0.82623,0.0012476,0.0012476,0.0012476
116,628.886,1.48237,0.68863,0.88086,0.99173,0.98408,0.9944,0.64059,1.28018,0.55222,0.82623,0.001241,0.001241,0.001241
117,634.157,1.40444,0.7299,0.87914,0.99556,0.97878,0.9946,0.64473,1.24899,0.52318,0.83099,0.0012344,0.0012344,0.0012344
118,639.709,1.42899,0.6974,0.89065,0.99556,0.97878,0.9946,0.64473,1.24899,0.52318,0.83099,0.0012278,0.0012278,0.0012278
119,645.209,1.41632,0.65908,0.87966,0.99459,0.97464,0.9936,0.63083,1.37487,0.54382,0.84465,0.0012212,0.0012212,0.0012212
120,650.489,1.4604,0.69047,0.88273,0.99459,0.97464,0.9936,0.63083,1.37487,0.54382,0.84465,0.0012146,0.0012146,0.0012146
121,655.775,1.456,0.65234,0.88809,0.99532,0.97878,0.99425,0.64801,1.29856,0.53778,0.83902,0.001208,0.001208,0.001208
122,661.334,1.52492,0.73614,0.90372,0.99532,0.97878,0.99425,0.64801,1.29856,0.53778,0.83902,0.0012014,0.0012014,0.0012014
123,666.812,1.40944,0.63934,0.87657,0.99532,0.97878,0.99425,0.64801,1.29856,0.53778,0.83902,0.0011948,0.0011948,0.0011948
124,672.404,1.31059,0.62851,0.88784,0.99646,0.97878,0.99415,0.65485,1.27808,0.51736,0.8379,0.0011882,0.0011882,0.0011882
125,677.967,1.34804,0.64074,0.89005,0.99646,0.97878,0.99415,0.65485,1.27808,0.51736,0.8379,0.0011816,0.0011816,0.0011816
126,683.621,1.39655,0.67955,0.88441,0.99458,0.9742,0.99415,0.65487,1.29398,0.50012,0.83395,0.001175,0.001175,0.001175
127,689.133,1.48387,0.66957,0.87983,0.99458,0.9742,0.99415,0.65487,1.29398,0.50012,0.83395,0.0011684,0.0011684,0.0011684
128,694.736,1.34781,0.63824,0.8673,0.98602,0.98674,0.99447,0.65005,1.28929,0.51032,0.83118,0.0011618,0.0011618,0.0011618
129,700.019,1.32266,0.72143,0.87381,0.98602,0.98674,0.99447,0.65005,1.28929,0.51032,0.83118,0.0011552,0.0011552,0.0011552
130,705.335,1.40306,0.65602,0.8634,0.98602,0.98674,0.99447,0.65005,1.28929,0.51032,0.83118,0.0011486,0.0011486,0.0011486
131,710.695,1.48022,0.7702,0.9229,0.9973,0.98087,0.9946,0.65712,1.20907,0.49752,0.82697,0.001142,0.001142,0.001142
132,716.215,1.44335,0.77884,0.88812,0.9973,0.98087,0.9946,0.65712,1.20907,0.49752,0.82697,0.0011354,0.0011354,0.0011354
133,721.253,1.43656,0.66304,0.88666,0.99503,0.98143,0.99455,0.65199,1.20865,0.50513,0.82847,0.0011288,0.0011288,0.0011288
134,725.824,1.34865,0.64019,0.8833,0.99503,0.98143,0.99455,0.65199,1.20865,0.50513,0.82847,0.0011222,0.0011222,0.0011222
135,731.014,1.34986,0.75933,0.82284,0.98408,0.98939,0.9946,0.63235,1.3219,0.53769,0.83231,0.0011156,0.0011156,0.0011156
136,736.349,1.40573,0.68555,0.90198,0.98408,0.98939,0.9946,0.63235,1.3219,0.53769,0.83231,0.001109,0.001109,0.001109
137,741.668,1.38798,0.64765,0.88223,0.98931,0.98939,0.99473,0.6366,1.3353,0.53949,0.8359,0.0011024,0.0011024,0.0011024
138,746.945,1.44147,0.68837,0.89162,0.98931,0.98939,0.99473,0.6366,1.3353,0.53949,0.8359,0.0010958,0.0010958,0.0010958
139,752.275,1.40055,0.70765,0.91055,0.98931,0.98939,0.99473,0.6366,1.3353,0.53949,0.8359,0.0010892,0.0010892,0.0010892
140,757.602,1.39191,0.6527,0.87045,0.99059,0.98674,0.99465,0.66639,1.21222,0.50187,0.82927,0.0010826,0.0010826,0.0010826
141,763.261,1.3375,0.63897,0.90446,0.99059,0.98674,0.99465,0.66639,1.21222,0.50187,0.82927,0.001076,0.001076,0.001076
142,768.867,1.42558,0.66729,0.90942,0.99627,0.98408,0.99442,0.67117,1.19996,0.49371,0.8263,0.0010694,0.0010694,0.0010694
143,774.385,1.26738,0.568,0.8311,0.99627,0.98408,0.99442,0.67117,1.19996,0.49371,0.8263,0.0010628,0.0010628,0.0010628
144,780.037,1.4351,0.66808,0.91203,0.99668,0.98143,0.99414,0.66619,1.2269,0.5,0.82954,0.0010562,0.0010562,0.0010562
145,785.297,1.4103,0.63401,0.8601,0.99668,0.98143,0.99414,0.66619,1.2269,0.5,0.82954,0.0010496,0.0010496,0.0010496
146,790.591,1.29387,0.65577,0.87657,0.99668,0.98143,0.99414,0.66619,1.2269,0.5,0.82954,0.001043,0.001043,0.001043
147,795.955,1.32618,0.6111,0.88664,0.99405,0.98143,0.99051,0.65908,1.19674,0.50565,0.83132,0.0010364,0.0010364,0.0010364
148,801.208,1.2697,0.6225,0.86041,0.99405,0.98143,0.99051,0.65908,1.19674,0.50565,0.83132,0.0010298,0.0010298,0.0010298
149,806.493,1.29568,0.59723,0.86536,0.99409,0.98408,0.9918,0.65887,1.20826,0.5122,0.82961,0.0010232,0.0010232,0.0010232
150,811.778,1.33366,0.60033,0.84393,0.99409,0.98408,0.9918,0.65887,1.20826,0.5122,0.82961,0.0010166,0.0010166,0.0010166
151,817.125,1.37553,0.69245,1.05556,0.99731,0.98363,0.99415,0.67174,1.19572,0.49504,0.82661,0.00101,0.00101,0.00101
152,822.707,1.33569,0.58659,0.88044,0.99731,0.98363,0.99415,0.67174,1.19572,0.49504,0.82661,0.0010034,0.0010034,0.0010034
153,828.292,1.27681,0.56346,0.85915,0.99455,0.97878,0.99416,0.65594,1.25125,0.49329,0.82822,0.0009968,0.0009968,0.0009968
154,833.602,1.31661,0.60115,0.8401,0.99455,0.97878,0.99416,0.65594,1.25125,0.49329,0.82822,0.0009902,0.0009902,0.0009902
155,838.926,1.33651,0.5835,0.85594,0.99455,0.97878,0.99416,0.65594,1.25125,0.49329,0.82822,0.0009836,0.0009836,0.0009836
156,844.256,1.29573,0.61737,0.9313,0.9973,0.98138,0.99442,0.68012,1.1691,0.47552,0.82262,0.000977,0.000977,0.000977
157,849.811,1.31136,0.57538,0.87855,0.9973,0.98138,0.99442,0.68012,1.1691,0.47552,0.82262,0.0009704,0.0009704,0.0009704
158,855.392,1.36633,0.58974,0.85161,0.99629,0.98674,0.9945,0.67744,1.14861,0.48433,0.81931,0.0009638,0.0009638,0.0009638
159,860.671,1.36844,0.63342,0.93357,0.99629,0.98674,0.9945,0.67744,1.14861,0.48433,0.81931,0.0009572,0.0009572,0.0009572
160,865.976,1.32292,0.59457,0.87952,0.99464,0.98478,0.99463,0.67836,1.1493,0.48272,0.82009,0.0009506,0.0009506,0.0009506
161,871.281,1.28935,0.62076,0.89366,0.99464,0.98478,0.99463,0.67836,1.1493,0.48272,0.82009,0.000944,0.000944,0.000944
162,876.563,1.23268,0.57287,0.86192,0.99464,0.98478,0.99463,0.67836,1.1493,0.48272,0.82009,0.0009374,0.0009374,0.0009374
163,881.772,1.27795,0.64903,0.90365,0.99015,0.98939,0.9946,0.6664,1.22416,0.4826,0.82476,0.0009308,0.0009308,0.0009308
164,887.061,1.21307,0.56639,0.87422,0.99015,0.98939,0.9946,0.6664,1.22416,0.4826,0.82476,0.0009242,0.0009242,0.0009242
165,892.352,1.29922,0.54824,0.85018,0.99103,0.99204,0.99457,0.67413,1.21802,0.48492,0.82289,0.0009176,0.0009176,0.0009176
166,897.652,1.22654,0.5797,0.90674,0.99103,0.99204,0.99457,0.67413,1.21802,0.48492,0.82289,0.000911,0.000911,0.000911
167,902.99,1.31756,0.5794,0.85677,0.99145,0.99204,0.99463,0.69204,1.14646,0.48322,0.81825,0.0009044,0.0009044,0.0009044
168,908.521,1.23676,0.55089,0.8449,0.99145,0.99204,0.99463,0.69204,1.14646,0.48322,0.81825,0.0008978,0.0008978,0.0008978
169,914.133,1.25007,0.57685,0.85039,0.99202,0.98939,0.99455,0.68041,1.1653,0.49336,0.82292,0.0008912,0.0008912,0.0008912
