epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,181.42,1.06625,0.82394,0.94368,0.94972,0.88631,0.95536,0.63458,1.17342,0.82793,1.03524,0.0008548,0.0008548,0.0008548
46,185.432,1.10316,0.88497,0.97871,0.94972,0.88631,0.95536,0.63458,1.17342,0.82793,1.03524,0.0008515,0.0008515,0.0008515
47,189.326,1.09031,0.79201,0.94565,0.95319,0.94483,0.97874,0.65405,1.09368,0.83687,1.02196,0.0008482,0.0008482,0.0008482
48,193.12,1.06156,0.76318,0.96206,0.95319,0.94483,0.97874,0.65405,1.09368,0.83687,1.02196,0.0008449,0.0008449,0.0008449
49,197.179,1.08667,0.82427,0.96312,0.94394,0.91647,0.97169,0.68197,1.03605,0.70803,0.99826,0.0008416,0.0008416,0.0008416
50,201.188,1.00074,0.76789,0.93739,0.94394,0.91647,0.97169,0.68197,1.03605,0.70803,0.99826,0.0008383,0.0008383,0.0008383
51,205.131,1.00842,0.75192,0.98809,0.94795,0.95128,0.97633,0.69161,1.0227,0.63365,0.99097,0.000835,0.000835,0.000835
52,209.071,0.93443,0.85028,0.96551,0.94795,0.95128,0.97633,0.69161,1.0227,0.63365,0.99097,0.0008317,0.0008317,0.0008317
53,213.012,0.95587,0.64505,0.88026,0.96909,0.94432,0.98127,0.7136,0.97423,0.65033,0.97613,0.0008284,0.0008284,0.0008284
54,217.019,0.91034,0.59574,0.8754,0.96909,0.94432,0.98127,0.7136,0.97423,0.65033,0.97613,0.0008251,0.0008251,0.0008251
55,220.998,0.93871,0.72279,0.92534,0.96909,0.94432,0.98127,0.7136,0.97423,0.65033,0.97613,0.0008218,0.0008218,0.0008218
56,224.828,0.91289,0.73103,0.93908,0.97855,0.95242,0.98609,0.73571,0.92912,0.70776,0.95192,0.0008185,0.0008185,0.0008185
57,228.605,0.88522,0.7498,0.91809,0.97855,0.95242,0.98609,0.73571,0.92912,0.70776,0.95192,0.0008152,0.0008152,0.0008152
58,232.611,0.90252,0.61138,0.91536,0.97636,0.95823,0.9875,0.74106,0.90923,0.58726,0.94793,0.0008119,0.0008119,0.0008119
59,236.594,0.93843,0.68642,0.9294,0.97636,0.95823,0.9875,0.74106,0.90923,0.58726,0.94793,0.0008086,0.0008086,0.0008086
60,240.54,0.93678,0.6317,0.9062,0.97475,0.95128,0.98522,0.73748,0.94562,0.58889,0.95101,0.0008053,0.0008053,0.0008053
61,244.213,0.91685,0.62532,0.93695,0.97475,0.95128,0.98522,0.73748,0.94562,0.58889,0.95101,0.000802,0.000802,0.000802
62,247.908,0.91505,0.68174,0.94202,0.96509,0.94664,0.98484,0.73755,0.91375,0.53181,0.94785,0.0007987,0.0007987,0.0007987
63,251.592,0.97134,0.88973,1.0034,0.96509,0.94664,0.98484,0.73755,0.91375,0.53181,0.94785,0.0007954,0.0007954,0.0007954
64,255.321,0.90822,0.6082,0.91987,0.95292,0.95824,0.98392,0.75071,0.87533,0.5698,0.93856,0.0007921,0.0007921,0.0007921
65,259.237,0.83562,0.61978,0.90142,0.95292,0.95824,0.98392,0.75071,0.87533,0.5698,0.93856,0.0007888,0.0007888,0.0007888
66,263.215,0.81481,0.62567,0.90195,0.95292,0.95824,0.98392,0.75071,0.87533,0.5698,0.93856,0.0007855,0.0007855,0.0007855
67,267.226,0.86987,0.60991,0.91267,0.94301,0.96056,0.98172,0.75024,0.90553,0.56503,0.94216,0.0007822,0.0007822,0.0007822
68,270.909,0.85894,0.57264,0.88795,0.94301,0.96056,0.98172,0.75024,0.90553,0.56503,0.94216,0.0007789,0.0007789,0.0007789
69,274.635,0.85646,0.53164,0.87897,0.94362,0.97216,0.98289,0.77376,0.83101,0.51247,0.92555,0.0007756,0.0007756,0.0007756
70,278.551,0.86349,0.67185,0.93707,0.94362,0.97216,0.98289,0.77376,0.83101,0.51247,0.92555,0.0007723,0.0007723,0.0007723
71,282.556,0.79583,0.58215,0.91698,0.95021,0.95824,0.98359,0.77652,0.84166,0.53385,0.92196,0.000769,0.000769,0.000769
72,286.526,0.81444,0.55204,0.88607,0.95021,0.95824,0.98359,0.77652,0.84166,0.53385,0.92196,0.0007657,0.0007657,0.0007657
73,290.392,0.85833,0.58921,0.90127,0.95513,0.9384,0.98179,0.77426,0.82125,0.58321,0.91884,0.0007624,0.0007624,0.0007624
74,294.055,0.79327,0.55726,0.88419,0.95513,0.9384,0.98179,0.77426,0.82125,0.58321,0.91884,0.0007591,0.0007591,0.0007591
